created_at,user,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,retweeted_status,quoted_status,text,favorited_by,scopes,display_text_width,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-09-29T18:30:26Z,skinceuticals,1575553604462825500,1575553604462825472,"While culturally tan skin can be a sign of health, prolonged exposure to the sun can cause premature aging and cause discoloration. It is important to protect your skin with a daily vitamin C antioxidant and an SPF to minimize future damage.",FALSE,241,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1575553596581625900,1575553596581625857,132543891,132543891,SkinCeuticals,,,,NA,FALSE,0,3,FALSE,FALSE,en,NA,,,"While culturally tan skin can be a sign of health, prolonged exposure to the sun can cause premature aging and cause discoloration. It is important to protect your skin with a daily vitamin C antioxidant and an SPF to minimize future damage.",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-29T18:30:24Z,skinceuticals,1575553596581625900,1575553596581625857,"Sharing skin health within the Hispanic community with Dr. César González Árdila 

​Dr. González Árdila today shares how tanning your skin for beauty impacts your skin health. https://t.co/ykv2naF1fQ",FALSE,175,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,4,FALSE,FALSE,sl,FALSE,,,"Sharing skin health within the Hispanic community with Dr. César González Árdila 

​Dr. González Árdila today shares how tanning your skin for beauty impacts your skin health. https://t.co/ykv2naF1fQ",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-29T17:16:16Z,skinceuticals,1575534941869207600,1575534941869207553,"@wwd   includes Silymarin CF in their acne serum round up, saying ""On top of reducing oiliness, the Silymarin CF improves the appearance of pores and skin texture."" https://t.co/4eWdWg1EB2",FALSE,188,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",NA,NA,19784831,19784831,wwd,,,,NA,FALSE,0,0,FALSE,FALSE,en,FALSE,,,"@wwd   includes Silymarin CF in their acne serum round up, saying ""On top of reducing oiliness, the Silymarin CF improves the appearance of pores and skin texture."" https://t.co/4eWdWg1EB2",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-28T18:46:41Z,skinceuticals,1575195305083273200,1575195305083273216,What's your favorite SkinCeuticals antioxidant serum?,FALSE,53,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,3,FALSE,FALSE,en,NA,,,What's your favorite SkinCeuticals antioxidant serum?,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-28T14:00:01Z,skinceuticals,1575123166095188e3,1575123166095187968,"Amplify your skin’s hyaluronic acid levels with H.A. Intensifier - a multi-functional corrective serum 💜

📷: @dayglomedspa // Instagram https://t.co/vywngqOjMl",FALSE,135,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,5,FALSE,FALSE,en,FALSE,,,"Amplify your skin’s hyaluronic acid levels with H.A. Intensifier - a multi-functional corrective serum 💜

📷: @dayglomedspa // Instagram https://t.co/vywngqOjMl",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-27T16:00:22Z,skinceuticals,1574791063130329e3,1574791063130329088,Step 4: Finish with a SkinCeuticals broad-spectrum sunscreen to provide effective protection against the appearance of photoaging ☀️,FALSE,132,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1574791057514061800,1574791057514061826,132543891,132543891,SkinCeuticals,,,,NA,FALSE,0,0,FALSE,FALSE,en,NA,,,Step 4: Finish with a SkinCeuticals broad-spectrum sunscreen to provide effective protection against the appearance of photoaging ☀️,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-27T16:00:20Z,skinceuticals,1574791057514061800,1574791057514061826,"Step 3: Use Phyto Corrective Essence Mist to strengthen your skin’s barrier, increase hydration, and reduces visible redness https://t.co/EfzJuWyeWE",FALSE,124,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1574791046621536300,1574791046621536261,132543891,132543891,SkinCeuticals,,,,NA,FALSE,0,6,FALSE,FALSE,en,FALSE,,,"Step 3: Use Phyto Corrective Essence Mist to strengthen your skin’s barrier, increase hydration, and reduces visible redness https://t.co/EfzJuWyeWE",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-27T16:00:18Z,skinceuticals,1574791046621536300,1574791046621536261,Step 2: Apply your correct product. Phyto Corrective Gel is ideal to calm and hydrate skin while improving visual redness https://t.co/0cOT3lQNT4,FALSE,121,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",1574791039684169700,1574791039684169728,132543891,132543891,SkinCeuticals,,,,NA,FALSE,0,1,FALSE,FALSE,en,FALSE,,,Step 2: Apply your correct product. Phyto Corrective Gel is ideal to calm and hydrate skin while improving visual redness https://t.co/0cOT3lQNT4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-27T16:00:16Z,skinceuticals,1574791039684169700,1574791039684169728,"Step 1: Start with your prevent product to target skin concerns such as fine lines, wrinkles, discoloration, and oiliness https://t.co/eHEF0mDip8",FALSE,121,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",157479099322377e4,1574790993223770115,132543891,132543891,SkinCeuticals,,,,NA,FALSE,0,0,FALSE,FALSE,en,FALSE,,,"Step 1: Start with your prevent product to target skin concerns such as fine lines, wrinkles, discoloration, and oiliness https://t.co/eHEF0mDip8",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-27T16:00:05Z,skinceuticals,157479099322377e4,1574790993223770115,"Here's how to layer the NEW Phyto Corrective Essence Mist 💚
https://t.co/Hc3BV3He6a https://t.co/COAYCfdCpq",FALSE,83,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,5,FALSE,FALSE,en,FALSE,,,"Here's how to layer the NEW Phyto Corrective Essence Mist 💚
https://t.co/Hc3BV3He6a https://t.co/COAYCfdCpq",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
